[rank1]:[W723 22:00:49.802009433 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 1]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank0]:[W723 22:00:49.857492411 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 0]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[clip_pretrained] loaded 305 tensors from model/ViT-B-16.pt
[clip_pretrained] missing total=282 (visual2*/decoder*/classification* expected = 282; backbone gaps must be 0 -> 0 [])
[clip_pretrained] unexpected (ignored) = 3 ['input_resolution', 'context_length', 'vocab_size']
epoch=1 step=1460/29520 loss=67.5061 Le=0.3956 Lc=2.1549 Ld=6.4018 lr=9.994e-06 peak_mem=25.49GiB
epoch=1 step=1480/29520 loss=92.4565 Le=0.6520 Lc=2.0815 Ld=6.4434 lr=9.994e-06 peak_mem=25.49GiB
epoch=1 step=1500/29520 loss=68.8169 Le=0.4364 Lc=1.8978 Ld=6.1982 lr=9.993e-06 peak_mem=25.49GiB
epoch=1 step=1520/29520 loss=73.9672 Le=0.4699 Lc=2.0787 Ld=6.1929 lr=9.993e-06 peak_mem=25.49GiB
epoch=1 step=1540/29520 loss=55.7441 Le=0.3042 Lc=1.9080 Ld=6.2400 lr=9.992e-06 peak_mem=25.49GiB
epoch=1 step=1560/29520 loss=75.3970 Le=0.4838 Lc=2.0763 Ld=6.2553 lr=9.991e-06 peak_mem=25.49GiB
epoch=1 step=1580/29520 loss=70.7784 Le=0.4419 Lc=2.0322 Ld=6.2690 lr=9.991e-06 peak_mem=25.49GiB
epoch=1 step=1600/29520 loss=88.2880 Le=0.6234 Lc=1.9772 Ld=6.1802 lr=9.990e-06 peak_mem=25.49GiB
epoch=1 step=1620/29520 loss=76.7387 Le=0.5053 Lc=1.9966 Ld=6.2400 lr=9.990e-06 peak_mem=25.49GiB
epoch=1 step=1640/29520 loss=65.1822 Le=0.3960 Lc=1.9546 Ld=6.0403 lr=9.989e-06 peak_mem=25.49GiB
epoch=1 step=1660/29520 loss=69.5960 Le=0.4336 Lc=2.0057 Ld=6.1751 lr=9.988e-06 peak_mem=25.49GiB
epoch=1 step=1680/29520 loss=76.0691 Le=0.5007 Lc=1.9895 Ld=6.1047 lr=9.987e-06 peak_mem=25.49GiB
epoch=1 step=1700/29520 loss=65.6117 Le=0.4122 Lc=1.8247 Ld=6.1436 lr=9.987e-06 peak_mem=25.49GiB
epoch=1 step=1720/29520 loss=72.8299 Le=0.4729 Lc=1.9264 Ld=6.2761 lr=9.986e-06 peak_mem=25.49GiB
epoch=1 step=1740/29520 loss=74.4168 Le=0.5058 Lc=1.7610 Ld=6.2247 lr=9.985e-06 peak_mem=25.49GiB
epoch=1 step=1760/29520 loss=72.3684 Le=0.4725 Lc=1.9087 Ld=6.0326 lr=9.984e-06 peak_mem=25.49GiB
epoch=1 step=1780/29520 loss=46.5530 Le=0.2298 Lc=1.7519 Ld=6.0566 lr=9.983e-06 peak_mem=25.49GiB
epoch=1 step=1800/29520 loss=76.4643 Le=0.5216 Lc=1.8499 Ld=5.8029 lr=9.983e-06 peak_mem=25.49GiB
epoch=1 step=1820/29520 loss=71.7220 Le=0.4705 Lc=1.8740 Ld=5.9294 lr=9.982e-06 peak_mem=25.49GiB
epoch=1 step=1840/29520 loss=61.5492 Le=0.3698 Lc=1.8775 Ld=5.7967 lr=9.981e-06 peak_mem=25.49GiB
epoch=1 step=1860/29520 loss=58.1092 Le=0.3238 Lc=1.9718 Ld=6.0137 lr=9.980e-06 peak_mem=25.49GiB
epoch=1 step=1880/29520 loss=70.4506 Le=0.4506 Lc=1.9508 Ld=5.8852 lr=9.979e-06 peak_mem=25.49GiB
epoch=1 step=1900/29520 loss=74.6521 Le=0.4888 Lc=2.0034 Ld=5.7366 lr=9.978e-06 peak_mem=25.49GiB
epoch=1 step=1920/29520 loss=61.9022 Le=0.3668 Lc=1.9214 Ld=6.0062 lr=9.977e-06 peak_mem=25.49GiB
epoch=1 step=1940/29520 loss=59.0345 Le=0.3348 Lc=1.9804 Ld=5.7502 lr=9.976e-06 peak_mem=25.49GiB
epoch=1 step=1960/29520 loss=70.2944 Le=0.4592 Lc=1.8612 Ld=5.7651 lr=9.975e-06 peak_mem=25.49GiB
epoch=1 step=1980/29520 loss=60.4702 Le=0.3611 Lc=1.8754 Ld=5.6047 lr=9.974e-06 peak_mem=25.49GiB
epoch=1 step=2000/29520 loss=71.7707 Le=0.4698 Lc=1.8987 Ld=5.7998 lr=9.973e-06 peak_mem=25.49GiB
epoch=1 step=2020/29520 loss=67.5568 Le=0.4432 Lc=1.7224 Ld=6.0155 lr=9.972e-06 peak_mem=25.49GiB
epoch=1 step=2040/29520 loss=53.3909 Le=0.2924 Lc=1.8187 Ld=5.9607 lr=9.971e-06 peak_mem=25.49GiB
epoch=1 step=2060/29520 loss=93.6075 Le=0.6818 Lc=1.9566 Ld=5.8597 lr=9.969e-06 peak_mem=25.49GiB
epoch=1 step=2080/29520 loss=74.8463 Le=0.5112 Lc=1.8088 Ld=5.6422 lr=9.968e-06 peak_mem=25.49GiB
epoch=1 step=2100/29520 loss=76.6964 Le=0.5273 Lc=1.8388 Ld=5.5793 lr=9.967e-06 peak_mem=25.49GiB
epoch=1 step=2120/29520 loss=64.7578 Le=0.4035 Lc=1.8453 Ld=5.9565 lr=9.966e-06 peak_mem=25.49GiB
epoch=1 step=2140/29520 loss=65.9234 Le=0.4104 Lc=1.9193 Ld=5.6884 lr=9.965e-06 peak_mem=25.49GiB
epoch=1 step=2160/29520 loss=86.6603 Le=0.6186 Lc=1.8872 Ld=5.9247 lr=9.963e-06 peak_mem=25.49GiB
epoch=1 step=2180/29520 loss=42.8000 Le=0.1942 Lc=1.7743 Ld=5.6403 lr=9.962e-06 peak_mem=25.49GiB
epoch=1 step=2200/29520 loss=62.7559 Le=0.3820 Lc=1.9045 Ld=5.5129 lr=9.961e-06 peak_mem=25.49GiB
epoch=1 step=2220/29520 loss=50.5816 Le=0.2685 Lc=1.8023 Ld=5.7061 lr=9.959e-06 peak_mem=25.49GiB
epoch=1 step=2240/29520 loss=53.8650 Le=0.3047 Lc=1.7833 Ld=5.5589 lr=9.958e-06 peak_mem=25.49GiB
epoch=1 step=2260/29520 loss=70.0366 Le=0.4669 Lc=1.7820 Ld=5.5254 lr=9.957e-06 peak_mem=25.49GiB
epoch=1 step=2280/29520 loss=72.3078 Le=0.4685 Lc=1.9894 Ld=5.5613 lr=9.955e-06 peak_mem=25.49GiB
epoch=1 step=2300/29520 loss=64.4380 Le=0.4215 Lc=1.6940 Ld=5.3515 lr=9.954e-06 peak_mem=25.49GiB
epoch=1 step=2320/29520 loss=68.4250 Le=0.4396 Lc=1.8994 Ld=5.4736 lr=9.953e-06 peak_mem=25.49GiB
epoch=1 step=2340/29520 loss=60.1188 Le=0.3787 Lc=1.6805 Ld=5.4399 lr=9.951e-06 peak_mem=25.49GiB
epoch=1 step=2360/29520 loss=57.5489 Le=0.3298 Lc=1.8997 Ld=5.5703 lr=9.950e-06 peak_mem=25.49GiB
epoch=1 step=2380/29520 loss=55.6865 Le=0.3240 Lc=1.7730 Ld=5.5547 lr=9.948e-06 peak_mem=25.49GiB
epoch=1 step=2400/29520 loss=52.2848 Le=0.2874 Lc=1.8170 Ld=5.3711 lr=9.947e-06 peak_mem=25.49GiB
epoch=1 step=2420/29520 loss=75.4666 Le=0.5135 Lc=1.8735 Ld=5.3787 lr=9.945e-06 peak_mem=25.49GiB
epoch=1 step=2440/29520 loss=60.7779 Le=0.3738 Lc=1.7971 Ld=5.4278 lr=9.944e-06 peak_mem=25.49GiB
epoch=1 step=2460/29520 loss=55.6005 Le=0.3313 Lc=1.7037 Ld=5.4342 lr=9.942e-06 peak_mem=25.49GiB
epoch=1 step=2480/29520 loss=43.1225 Le=0.2005 Lc=1.7651 Ld=5.4215 lr=9.940e-06 peak_mem=25.49GiB
epoch=1 step=2500/29520 loss=73.1376 Le=0.4920 Lc=1.8570 Ld=5.3670 lr=9.939e-06 peak_mem=25.49GiB
epoch=1 step=2520/29520 loss=61.0740 Le=0.3822 Lc=1.7484 Ld=5.3715 lr=9.937e-06 peak_mem=25.49GiB
